order_id,customer_id,product_id,order_date,quantity,amount
O001,C001,P001,2024-08-01,1,65000
O002,C002,P003,2024-08-02,2,5000
O003,C003,P002,2024-08-03,1,35000
O004,C004,P004,2024-08-04,1,8500
O005,C005,P007,2024-08-05,2,11000
O006,C006,P005,2024-08-06,1,12000
O007,C007,P006,2024-08-07,3,5400
O008,C008,P010,2024-08-08,1,15000
O009,C009,P008,2024-08-09,2,4400
O010,C010,P009,2024-08-10,3,3600
O011,C001,P002,2024-08-11,1,35000
O012,C002,P001,2024-08-12,1,65000
O013,C003,P005,2024-08-13,2,24000
O014,C004,P007,2024-08-14,1,5500
O015,C005,P003,2024-08-15,2,5000
O016,C006,P010,2024-08-16,1,15000
O017,C007,P004,2024-08-17,1,8500
O018,C008,P006,2024-08-18,2,3600
O019,C009,P002,2024-08-19,1,35000
O020,C010,P001,2024-08-20,1,65000
