payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY001,O001,2024-08-01,UPI,Success,65000
PAY002,O002,2024-08-02,Credit Card,Success,5000
PAY003,O003,2024-08-03,Debit Card,Success,35000
PAY004,O004,2024-08-04,UPI,Success,8500
PAY005,O005,2024-08-05,Credit Card,Success,11000
PAY006,O006,2024-08-06,UPI,Success,12000
PAY007,O007,2024-08-07,Debit Card,Failed,5400
PAY008,O008,2024-08-08,UPI,Success,15000
PAY009,O009,2024-08-09,Credit Card,Success,4400
PAY010,O010,2024-08-10,UPI,Success,3600
PAY011,O011,2024-08-11,Credit Card,Success,35000
PAY012,O012,2024-08-12,Debit Card,Success,65000
PAY013,O013,2024-08-13,UPI,Success,24000
PAY014,O014,2024-08-14,Credit Card,Failed,5500
PAY015,O015,2024-08-15,UPI,Success,5000
PAY016,O016,2024-08-16,Debit Card,Success,15000
PAY017,O017,2024-08-17,UPI,Success,8500
PAY018,O018,2024-08-18,Credit Card,Success,3600
PAY019,O019,2024-08-19,UPI,Success,35000
PAY020,O020,2024-08-20,Credit Card,Success,65000
